sentence,label
I readed the newspapper every mornigs.,0
He prepared well for his presentation.,1
He is studying computer science at university.,1
The universty offer many enginering programes.,0
We enjoyed the trip to the northern areas.,1
We have finished our project successfully.,1
He goed to the markit yesterdy.,0
The new smartphone has many impressive features.,1
We is working hardly on our NLP proyect.,0
She preparing hardly for her finall exams.,0
The sky are very clear and blew today.,0
She donated her old books to the school library.,1
The students attended the workshop on artificial intelligence.,1
I have never seen such a beautiful place.,1
He explaned the theary with very clears examples.,0
I will visited my freind tomorow mornng.,0
He went to the market yesterday.,1
He always arrives on time to class.,1
We should always be honests and hardworkng.,0
The trane arrive at the stashun on time.,0
He received good marks in all his subjects.,1
She helpped her freind understand the diffcult concep.,0
She passed the job interview with high confidence.,1
The weather is beautiful and sunny today.,1
They is planning to visit Murree this weekends.,0
She writes very well in English.,1
She always maintanes a positiv atitude in classs.,0
She writed very good in Englsh.,0
They are going to Lahore next week.,1
The children are playing outside happily.,1
The dog is running in the garden.,1
He fixd the problam very quickely.,0
He studying computer sience at universty.,0
The results was announc yesterday afternon.,0
She won the first prize in the science competition.,1
He submitted his assignment before the deadline.,1
We has finish our proyect succesfully.,0
The students attendd the workshopp on artficail inteligence.,0
We need to finish this report by tomorrow evening.,1
I am going to school today.,1
The professor gave an excellent lecture on algorithms.,1
We visited the museum last Sunday.,1
The train arrived at the station on time.,1
The results were announced yesterday afternoon.,1
They finish the works before the deadlin.,0
She doneted her olds books to the school librery.,0
We enjoied the trip to the northern areaz.,0
She has three years of experience in software development.,1
She is hardworking and very dedicated to her studies.,1
She has been studying for three hours.,1
I has never saw such a beautifull place.,0
She is preparing hard for her final exams.,1
He is one of the best students in class.,1
The librery have many intresting and usefull book.,0
My mother cook delicous food every days.,0
Pakistan are a beautifull and divers countrey.,0
I am very happy with my examination results.,1
Pakistan is a beautiful and diverse country.,1
The teacher explain the lessun very clearely.,0
He have completed his homework on times.,0
She speaks English very fluently.,1
She bought a new laptop for her studies.,1
The students passed they examinashuns.,0
I enjoy learning new things every day.,1
They is going to Lahore next weeks.,0
He explained the theory with very clear examples.,1
She always maintains a positive attitude in class.,1
We needs to finishes this reprot by tomorow evenng.,0
I always complete my assignments before the deadline.,1
We are learning natural language processing.,1
The dog are run in the gardin.,0
She have been study for three hours.,0
The university offers many engineering programs.,1
The library has many interesting and useful books.,1
We are working hard on our NLP project.,1
He always arrive on times to classs.,0
The students passed their examinations.,1
The sky is very clear and blue today.,1
I am go to school today.,0
I liking to read book in my frees time.,0
I am very hapy with my examinashun resultes.,0
I always completes my assignements before the deadlin.,0
I will visit my friend tomorrow morning.,1
The teacher explained the lesson very clearly.,1
The goverment announc a news educashun polcy.,0
He has completed his homework on time.,1
He drives his car very carefully.,1
I read the newspaper every morning.,1
They was playing football in park.,0
She are hardworking and very dedicatted to her studys.,0
My mother cooks delicious food every day.,1
I enjoys learn new things every days.,0
The proffesor gave a excelent lecture on algorythms.,0
The compeny launched a news softwares product.,0
He cleaned his room and organized his books.,1
The doctor advised him to rest for one week.,1
We visit the musem last Sundays.,0
They learned Python programming in six months.,1
He apologised imediately for he mistakes.,0
They are planning to visit Murree this weekend.,1
He prepard well for he presentashun.,0
She speak English very fluent.,0
He submited his assignement before the deadlin.,0
The meeting were schedule for Monday mornng.,0
He fixed the problem very quickly.,1
He apologized immediately for his mistake.,1
She completes the assignement on times.,0
She helped her friend understand the difficult concept.,1
The childrens are play outside hapily.,0
The docter adviced him to rests for one weeks.,0
He cleanned his room and organizd his books.,0
We should always be honest and hardworking.,1
We is learning natural language processing.,0
The food was very delicious at the restaurant.,1
She have three years of experince in softwares developement.,0
The company launched a new software product.,1
The government announced a new education policy.,1
They builded a moblie applicashun for they proyect.,0
They celebrated their victory with great joy.,1
The project was submitted successfully.,1
They celebratted they victory with great joys.,0
She pass the job intervew with high confedence.,0
She is a very good student.,1
They built a mobile application for their project.,1
The meeting was scheduled for Monday morning.,1
They were playing football in the park.,1
They finished the work before the deadline.,1
She buyed a new laptob for her studys.,0
The proyect were submited succesfully.,0
They learn Pyton programing in six month.,0
He drived his car very carfully.,0
The weather are beautiful and sunney today.,0
She winned the first prize in the sience competetion.,0
The news smartfone have many impressve fetures.,0
She completed the assignment on time.,1
She are a very good student.,0
He recieved good mark in all he subjects.,0
I like to read books in my free time.,1
He are one of the better students in classs.,0
The food were very delicous at the resturant.,0
